ID,HanChar,GroundTruth,ImageBox
DVSKTT_thu.III.1b.1,宗又命将史潘先缅自陈太宗以下至明,仁宗又命修史潘孚先續編自陳太宗以下至明,"[[211.72727272727272, 46.0], [258.54545454545456, 46.0], [234.0, 803.1818181818181], [230.8181818181818, 803.1818181818181]]"
DVSKTT_thu.III.1b.2,還國音以大越史記各然後歷代事蹟影彰,人睘國皆以大越史記名然後歷代事蹟彰?,"[[181.72727272727272, 61.0], [232.36363636363637, 61.0], [206.0, 792.5454545454545], [202.63636363636363, 792.5454545454545]]"
DVSKTT_thu.III.1b.3,可鉴文休陳寺大手筆也先,可鑒文休陳時大手筆也孚先,"[[152.0, 62.0], [197.72727272727272, 62.0], [175.0, 545.8181818181818], [173.8181818181818, 545.8181818181818]]"
DVSKTT_thu.III.1b.4,聖朝故老人也者奉詔觸其本國之史旁遺史,聖朝故老人也皆奉詔編其本國之史旁蒐遺史,"[[122.72727272727273, 43.0], [171.45454545454544, 43.0], [168.72727272727272, 813.6363636363636], [142.72727272727272, 813.6363636363636]]"
DVSKTT_thu.III.1b.5,會輯成書使後之覽者無遺憾焉可也而記志,會輯成書史後之覽者無遺憾焉可也而記志,"[[92.81818181818181, 59.0], [142.45454545454544, 59.0], [117.0, 786.6363636363636], [113.72727272727272, 786.6363636363636]]"
DVSKTT_thu.III.1b.6,有未倘義例猶有未当文字销有未安讀,猶有未僃義例猶有未當文字猶有未安讀者,"[[62.0, 60.0], [86.0, 60.0], [447.8181818181818, 447.72727272727275], [423.8181818181818, 447.72727272727275]]"
DVSKTT_thu.III.1b.7,不能無憾爲獨胡宗越史網日有作書事慎,不能無憾焉獨胡宗鷟越史綱目有作書事慎,"[[31.90909090909091, 64.0], [80.54545454545455, 64.0], [56.0, 789.7272727272727], [53.72727272727273, 789.7272727272727]]"
DVSKTT_thu.III.1b.8,重而有法評事切當而不冗殆亦無幾然而兵,重而有法評事切當而不冗殆亦庶幾然而兵,"[[6.818181818181818, 62.0], [51.72727272727273, 62.0], [29.0, 783.9090909090909], [25.0, 783.9090909090909]]"
DVSKTT_thu.III.2a.0,火之從其書不博盖成之至難意若有待,火之後其書不傳盖成之至難意若有待,"[[257.0, 55.0], [300.8181818181818, 55.0], [279.0, 726.6363636363636], [278.8181818181818, 726.6363636363636]]"
DVSKTT_thu.III.2a.1,皇上中興崇儒重道惇典考文於,皇上中興崇儒重道儒典考文廼於,"[[228.9090909090909, 39.0], [279.45454545454544, 39.0], [254.0, 603.8181818181818], [250.72727272727272, 603.8181818181818]]"
DVSKTT_thu.III.2a.2,光順年間詔求野史及家人所藏古今傳記,光順年間詔求也史及家人所藏古今傳記悉,"[[199.8181818181818, 54.0], [249.45454545454544, 54.0], [224.0, 795.0], [220.72727272727272, 795.0]]"
DVSKTT_thu.III.2a.3,,令,[]
DVSKTT_thu.III.2a.4,奏進以備参考又命儒臣討論緬史臣前在史院,奏進以僃參考又命儒臣討論編次臣前在史院,"[[143.9090909090909, 38.90909090909091], [164.9090909090909, 38.90909090909091], [164.9090909090909, 442.0], [525.7272727272727, 442.0]]"
DVSKTT_thu.III.2a.5,嘗預及再八也面其書已,嘗預焉及再入也而其書已,"[[111.0, 56.0], [159.63636363636363, 56.0], [136.0, 502.72727272727275], [133.72727272727272, 502.72727272727275]]"
DVSKTT_thu.III.2a.6,上進藏之東閣莫得之露自惟念幸際明寺断,上進藏之東閤莫得之見竊自惟念幸祭明時漸,"[[82.9090909090909, 38.0], [104.9090909090909, 38.0], [485.8181818181818, 443.9090909090909], [463.8181818181818, 443.9090909090909]]"
DVSKTT_thu.III.2a.7,無補報不自揆取光正二書校正摩增,無補報輙不自揆取先正二書校正編摩增入,"[[50.81818181818182, 53.0], [104.27272727272727, 53.0], [77.0, 785.4545454545455], [72.63636363636363, 785.4545454545455]]"
DVSKTT_thu.III.2a.8,外紀一卷九若干巷各曰大越史記全書事有,外紀一卷凣若干卷名曰大越史記全書事有,"[[20.90909090909091, 54.90909090909091], [47.90909090909091, 54.90909090909091], [416.09090909090907, 448.54545454545456], [389.09090909090907, 448.54545454545456]]"
DVSKTT_thu.III.2b.0,遗忘者補之例有未当者正之交有未安者改,遺忘者補之例有未當者正之文有未安者改,"[[245.0, 58.0], [294.54545454545456, 58.0], [270.0, 800.9090909090909], [268.6363636363636, 800.9090909090909]]"
DVSKTT_thu.III.2b.1,之間有善悪可以勸懲者鄙見於其後知,之間有𦎍惡可以勸懲者贅鄙見於其後極知,"[[216.0, 59.0], [263.6363636363636, 59.0], [240.0, 791.4545454545455], [238.72727272727272, 791.4545454545455]]"
DVSKTT_thu.III.2b.2,僭妄無所逃然職在当為不敢以才識,僭妄罪無所逃然職在當為不敢以才識謭陋,"[[187.0, 58.0], [235.72727272727272, 58.0], [213.0, 798.0], [210.63636363636363, 798.0]]"
DVSKTT_thu.III.2b.3,為静謹定成書留之史館雖未融公是非於,為辭謹編定成書留之史舘雖未能公是?於,"[[155.0, 58.0], [200.72727272727272, 58.0], [178.0, 798.0], [176.8181818181818, 798.0]]"
DVSKTT_thu.III.2b.4,萬年猶足資考之一助云,萬年猶足資󰏲考之一助云,"[[125.0, 59.0], [172.63636363636363, 59.0], [149.0, 505.72727272727275], [147.72727272727272, 505.72727272727275]]"
DVSKTT_thu.III.3a.0,洪德十年岁在毛亥冬至策,洪德十年歳在己亥冬至節,"[[201.0, 64.0], [252.45454545454544, 64.0], [227.0, 519.2727272727273], [226.45454545454544, 519.2727272727273]]"
DVSKTT_thu.III.3a.1,賜大宝壬成科同進士禮部在侍郎朝列大夫兼,賜大寶壬戌科同進士禮部右侍郎朝列大夫兼,"[[49.0, 42.0], [96.72727272727272, 42.0], [74.0, 817.2727272727273], [73.54545454545455, 817.2727272727273]]"
DVSKTT_thu.III.3a.2,國子監司業兼史官修拱吳運序,?????兼史官修𢮪吳士連序,"[[17.0, 63.0], [67.63636363636363, 63.0], [44.0, 636.3636363636363], [41.54545454545455, 636.3636363636363]]"
DVSKTT_thu.II.1a.0,大越史記續書,大越史記續編書,"[[264.0, 40.0], [308.9090909090909, 40.0], [288.0, 328.6363636363636], [284.9090909090909, 328.6363636363636]]"
DVSKTT_thu.II.1a.1,國史何為而作也益史以記事為主有一代文,國史何為而作也盖史以記事為主有一代之,"[[233.8181818181818, 59.0], [284.54545454545456, 59.0], [281.8181818181818, 804.8181818181818], [253.8181818181818, 804.8181818181818]]"
DVSKTT_thu.II.1a.2,治必有一代之史需史之载筆持論甚最如,治必有一代之史而史之載筆持論甚嚴如黼,"[[203.8181818181818, 58.0], [256.3636363636364, 58.0], [230.0, 805.6363636363636], [225.63636363636363, 805.6363636363636]]"
DVSKTT_thu.II.1a.3,散至治與日月而並明鉄亂賊與秋霜而俱,黻至治與日月而並明铁鉞亂賊與秋霜而俱,"[[171.9090909090909, 57.0], [226.27272727272728, 57.0], [199.0, 804.6363636363636], [195.54545454545453, 804.6363636363636]]"
DVSKTT_thu.II.1a.4,厲善者知可以為法惡者知可以為戒開係治,厲善者知可以為法惡者知可以為戒䦕係治,"[[142.0, 58.90909090909091], [167.0, 58.90909090909091], [539.7272727272727, 453.72727272727275], [514.7272727272727, 453.72727272727275]]"
DVSKTT_thu.II.1a.5,體不為不多故有而作也粤自,體不為不多故有爲而作也粤自,"[[383.9090909090909, 57.0], [406.9090909090909, 57.0], [137.8181818181818, 350.9090909090909], [114.81818181818181, 350.9090909090909]]"
DVSKTT_thu.II.1a.6,我國繼天地之開關鴻氏首内御世至,我國繼天地之開闢鴻庞氏首出御世歷至,"[[81.9090909090909, 38.0], [130.54545454545453, 38.0], [106.0, 735.1818181818181], [104.63636363636363, 735.1818181818181]]"
DVSKTT_thu.II.1a.7,國朝黎恭皇有若有臣有體統其政治之得失世,國朝黎恭皇有君有臣有體統其政治之得失世,"[[53.0, 41.81818181818182], [79.0, 41.81818181818182], [468.09090909090907, 456.45454545454544], [442.09090909090907, 456.45454545454544]]"
DVSKTT_thu.II.1a.8,道之隆污禮樂之興废人物之賢否莫不備載,道之隆汚禮樂之興󰲝人物之賢否莫不僃載,"[[20.0, 57.0], [71.54545454545455, 57.0], [47.0, 806.5454545454545], [44.54545454545455, 806.5454545454545]]"
DVSKTT_thu.II.1b.0,於史典之中试嘗考之昔翰林院學士兼國史,於史󰀋之中試嘗考之昔翰林院學士兼國史,"[[245.0, 56.0], [294.8181818181818, 56.0], [276.6363636363636, 789.3636363636363], [271.3636363636364, 789.3636363636363]]"
DVSKTT_thu.II.1b.1,院监修黎交保承陳太宗之命大越史記自,院監修黎文休承陳太宗之命編大越史記自,"[[217.0, 57.0], [265.72727272727275, 57.0], [243.0, 792.2727272727273], [241.54545454545453, 792.2727272727273]]"
DVSKTT_thu.II.1b.2,越武帝至李昭皇及修史官潘学元奉,趙武帝至李昭皇及修史官潘孚先奉,"[[183.0, 57.0], [235.54545454545453, 57.0], [214.63636363636363, 676.090909090909], [210.27272727272728, 676.090909090909]]"
DVSKTT_thu.II.1b.3,皇朝信宗命續大越史记自陳太宗至明人還,皇朝仁宗命續編大越史記自陳太宗至明人還,"[[155.0, 40.0], [203.72727272727272, 40.0], [182.8181818181818, 808.6363636363636], [180.45454545454544, 808.6363636363636]]"
DVSKTT_thu.II.1b.4,國其抑揚大義已昭昭於史筆之公論矣,國其抑揚大義已昭昭於史筆之公論矣迨,"[[126.0, 60.0], [176.63636363636363, 60.0], [153.0, 749.5454545454545], [126.0, 749.5454545454545]]"
DVSKTT_thu.II.1b.5,聖宗廓皇帝真睿智之資属英雄之志拓土開疆,聖宗淳皇帝稟睿智之資厲英雄之志拓土開疆,"[[478.6363636363636, 41.0], [505.6363636363636, 41.0], [122.0, 452.45454545454544], [95.0, 452.45454545454544]]"
DVSKTT_thu.II.1b.6,制法定制无肤留意史籍乃洪德十年間命,創法定制尤䏻留意史籍乃於洪德十年間命,"[[66.0, 59.0], [111.81818181818181, 59.0], [90.0, 792.3636363636363], [89.63636363636363, 792.3636363636363]]"
DVSKTT_thu.II.1b.7,禮部左待郎無國子监司業古建纂修大越,禮部左侍郎兼國子監司業吳士連纂修大越,"[[37.0, 59.0], [83.81818181818181, 59.0], [62.0, 792.3636363636363], [60.63636363636363, 792.3636363636363]]"
DVSKTT_thu.II.1b.8,史記全書繼以,史記全書繼以,"[[28.909090909090907, 58.0], [51.90909090909091, 58.0], [31.0, 303.72727272727275], [30.727272727272727, 303.72727272727275]]"
DVSKTT_thu.II.2a.0,奢典帝於洪顺三年命兵部尚書兼國子益司業,襄翼帝於洪順三年命兵部尙書兼國子監司業,"[[261.0, 49.81818181818182], [662.1818181818181, 49.81818181818182], [284.0, 449.9090909090909], [639.1818181818181, 449.9090909090909]]"
DVSKTT_thu.II.2a.1,兼史官都總裁武撰大越通鑑述自鴻氏,兼史官都總裁武󰔂撰大越通鑑述自鴻庞氏,"[[232.0, 64.9090909090909], [257.0, 64.9090909090909], [620.6363636363636, 452.6363636363636], [595.6363636363636, 452.6363636363636]]"
DVSKTT_thu.II.2a.2,至十二使君别為殊绝自丁先皇至,至十二使君别為外紀自丁先皇至,"[[202.0, 65.0], [252.54545454545453, 65.0], [228.0, 630.7272727272727], [225.63636363636363, 630.7272727272727]]"
DVSKTT_thu.II.2a.3,國朝太祖高皇帝大定天下初年為本紀其筆創,國朝太祖髙皇帝大定天下𥘉年為本紀其筆削,"[[173.9090909090909, 47.0], [220.63636363636363, 47.0], [197.0, 818.4545454545455], [193.9090909090909, 818.4545454545455]]"
DVSKTT_thu.II.2a.4,大法又炳烟於史筆之微肯矣至於洪顺六年,大法又炳炳於史筆之徵㫖矣至於洪順六年,"[[144.0, 64.0], [191.63636363636363, 64.0], [168.0, 797.3636363636363], [166.72727272727272, 797.3636363636363]]"
DVSKTT_thu.II.2a.5,又命少保禮部尚書東阁大學士無國子監奈,又命少保禮部尙書東閣大學士兼國子監祭,"[[112.9090909090909, 67.0], [161.54545454545453, 67.0], [137.0, 794.6363636363636], [134.72727272727272, 794.6363636363636]]"
DVSKTT_thu.II.2a.6,酒知經筵事書伯黎撰大越通鑑總論可,酒知經筵事󰦛書伯黎嵩𢮪大越通鑑總論可,"[[84.0, 67.0], [127.81818181818181, 67.0], [106.0, 792.7272727272727], [104.9090909090909, 792.7272727272727]]"
DVSKTT_thu.II.2a.7,謂篤志於史學而其是求亦不能逃於公議矣,謂篤志於史學而其是非亦不䏻逃於公議矣,"[[51.0, 64.0], [105.36363636363636, 64.0], [79.0, 801.1818181818181], [77.36363636363636, 801.1818181818181]]"
DVSKTT_thu.II.2a.8,暨光紹五年又命禮部尚書史官副都總裁知,暨光紹五年又命禮部尙書史官副都總裁知,"[[23.0, 62.0], [70.63636363636363, 62.0], [68.81818181818181, 802.0], [44.81818181818181, 802.0]]"
DVSKTT_thu.II.2b.0,昭文命秀林局鄧謙作該史詩集亦可雨能,昭文舘秀林局鄧鳴謙作詠史詩集亦可謂䏻,"[[246.9090909090909, 63.90909090909091], [272.90909090909093, 63.90909090909091], [632.9090909090909, 449.54545454545456], [606.9090909090909, 449.54545454545456]]"
DVSKTT_thu.II.2b.1,求諷詠於詩而考見其得失矣由是而觀緬集,求諷詠於詩而考見其得失矣由是而觀編集,"[[217.0, 62.0], [262.72727272727275, 62.0], [240.0, 789.6363636363636], [237.9090909090909, 789.6363636363636]]"
DVSKTT_thu.II.2b.2,国史者屡至再四但未刊板颁布致傅録錯,國史者屢至再四但未刊板頒布致傳録錯繆,"[[187.0, 64.0], [233.72727272727272, 64.0], [211.0, 784.090909090909], [208.8181818181818, 784.090909090909]]"
DVSKTT_thu.II.2b.3,不能無亥承魚兽之失若不委之校正何以洗,不䏻無亥豕魚魯之失若不委之板正何以洗,"[[155.0, 63.90909090909091], [541.9090909090909, 63.90909090909091], [181.0, 447.6363636363636], [515.9090909090909, 447.6363636363636]]"
DVSKTT_thu.II.2b.4,相浩之故習我敛唯,相沿之故習㢤欽惟,"[[129.0, 62.0], [175.8181818181818, 62.0], [154.0, 385.8181818181818], [129.0, 385.8181818181818]]"
DVSKTT_thu.II.2b.5,皇上陛下嗣守丕基率循大卞日與,皇上陛下嗣守丕基率循大卞日與,"[[99.0, 41.0], [144.72727272727272, 41.0], [122.0, 608.6363636363636], [121.72727272727272, 608.6363636363636]]"
DVSKTT_thu.II.2b.6,大元做掌圖政尚師西王,大元帥掌國政尙師西王,"[[69.0, 62.0], [111.9090909090909, 62.0], [91.0, 464.0], [89.9090909090909, 464.0]]"
DVSKTT_thu.II.2b.7,整飭純綱作典,整飭紀綱作興,"[[67.0, 300.0], [116.63636363636363, 300.0], [93.0, 550.5454545454545], [90.63636363636363, 550.5454545454545]]"
DVSKTT_thu.II.2b.8,交教專委,文教專委,"[[40.90909090909091, 62.0], [85.72727272727272, 62.0], [63.0, 225.8181818181818], [61.81818181818181, 225.8181818181818]]"
DVSKTT_thu.II.2b.9,敛差節制各虎永步諸管兼總政栖太尉宜國,欽差節制各處水步諸營兼總政柄太尉宜國,"[[11.0, 62.90909090909091], [35.0, 62.90909090909091], [395.9090909090909, 444.8181818181818], [371.9090909090909, 444.8181818181818]]"
DVSKTT_thu.II.3a.0,公鄭根典司政本講求治理知夫史乃正当,公鄭根典司政本講求治理深知夫史乃正當,"[[255.9090909090909, 62.0], [300.72727272727275, 62.0], [278.0, 794.4545454545455], [275.9090909090909, 794.4545454545455]]"
DVSKTT_thu.II.3a.1,時之各分示來世之勸懲於是起,時之名分示來世之勸懲於是渙起,"[[228.0, 58.0], [273.72727272727275, 58.0], [271.9090909090909, 630.4545454545455], [248.9090909090909, 630.4545454545455]]"
DVSKTT_thu.II.3a.2,宸断細繹書史特命臣與左侍郎臣揚右侍郎,宸斷紬繹書史特命臣與左侍郎臣楊㵆右侍郎,"[[197.0, 41.90909090909091], [222.0, 41.90909090909091], [604.7272727272727, 449.6363636363636], [579.7272727272727, 449.6363636363636]]"
DVSKTT_thu.II.3a.3,臣胡士摄臣阮國臣鄂公卿臣阮公,臣胡士揚臣阮國櫆臣鄧公瓆寺卿臣阮公壁,"[[168.0, 60.0], [215.63636363636363, 60.0], [192.0, 787.7272727272727], [190.72727272727272, 787.7272727272727]]"
DVSKTT_thu.II.3a.4,東阁臣 建食待書民公正待制臣号理府,東各神裴廷貟侍書臣陶公正待制臣吳珪府,"[[140.8181818181818, 61.72727272727273], [527.5454545454545, 61.72727272727273], [249.36363636363637, 447.6363636363636], [503.5454545454545, 447.6363636363636]]"
DVSKTT_thu.II.3a.5,尹臣阮建正給事中臣阮公翰林品阮曰,尹臣阮廷正給事中臣阮公弼翰林臣阮曰庶,"[[108.0, 60.0], [157.54545454545453, 60.0], [133.0, 790.5454545454545], [132.54545454545453, 790.5454545454545]]"
DVSKTT_thu.II.3a.6,臣武唯斷等訂國史自鴻氏至恭皇纪父,臣武惟斷等訂改國史自洪庞氏至恭皇紀义,"[[78.0, 60.0], [123.81818181818181, 60.0], [102.0, 789.6363636363636], [100.72727272727272, 789.6363636363636]]"
DVSKTT_thu.II.3a.7,命續编自,命續編自,"[[49.0, 58.0], [93.81818181818181, 58.0], [72.0, 225.63636363636363], [70.81818181818181, 225.63636363636363]]"
DVSKTT_thu.II.3a.8,莊宗皇帝,荘宗裕?帝至,"[[18.0, 41.0], [65.72727272727272, 41.0], [43.0, 284.8181818181818], [40.72727272727273, 284.8181818181818]]"
DVSKTT_thu.II.3b.0,神宗淵皇帝萬慶年間述為成書録梓領行臣等,神宗淵皇帝萬慶年間述為成書鋟梓頒行臣等,"[[240.8181818181818, 45.0], [292.3636363636364, 45.0], [289.6363636363636, 808.8181818181818], [262.6363636363636, 808.8181818181818]]"
DVSKTT_thu.II.3b.1,自知線其才天其見目不鄴侯萬軸肯不,自知󰔹線其才甕天其見目不業侯萬軸骨不,"[[209.8181818181818, 63.0], [259.45454545454544, 63.0], [234.0, 788.7272727272727], [231.63636363636363, 788.7272727272727]]"
DVSKTT_thu.II.3b.2,世南秘書其才又尚於黎諸君子之下安敢,世南秘書其才又出於黎鄧諸君子之下安敢,"[[181.63636363636363, 63.0], [231.36363636363637, 63.0], [205.0, 784.0], [200.72727272727272, 784.0]]"
DVSKTT_thu.II.3b.3,馳驚於数千载之上以储補者然既承,馳鶩於數千載之上以僃補綴者㢤然既叨承,"[[150.0, 63.0], [175.0, 63.0], [533.1818181818181, 445.6363636363636], [508.18181818181813, 445.6363636363636]]"
DVSKTT_thu.II.3b.4,成命不敢以线描群因共加总微間见抄録遗,成命不敢以淺拙辭因共加蒐獵間見抄録遺,"[[122.9090909090909, 60.0], [170.63636363636363, 60.0], [147.0, 790.5454545454545], [143.8181818181818, 790.5454545454545]]"
DVSKTT_thu.II.3b.5,字義蹇乃推尋意義之中補一二使讀,舛字義蹇澁乃推尋意義之中補輯一二使讀,"[[93.72727272727273, 60.0], [142.45454545454544, 60.0], [141.54545454545453, 793.3636363636363], [115.54545454545455, 793.3636363636363]]"
DVSKTT_thu.II.3b.6,者易晓求敢妄为附會聽說又撫取自鴻氏,者易曉非敢妄為附會臆説又摭取自洪庞氏,"[[63.0, 62.0], [87.0, 62.0], [446.09090909090907, 443.8181818181818], [422.09090909090907, 443.8181818181818]]"
DVSKTT_thu.II.3b.7,至使裴题曰大越史記外仓書自丁先,至吳使君題曰大越史記外紀全書自丁先皇,"[[36.0, 62.0], [60.0, 62.0], [418.18181818181813, 444.8181818181818], [394.18181818181813, 444.8181818181818]]"
DVSKTT_thu.II.3b.8,3,至我,"[[11.0, 62.0], [37.18181818181818, 62.0], [29.0, 116.45454545454545], [19.18181818181818, 116.45454545454545]]"
DVSKTT_thu.II.4a.0,國朝太祖高皇帝為本纪全書並依如前史臣员,國朝太祖髙皇帝為本紀全書並依如前史臣吳,"[[256.0, 47.0], [299.8181818181818, 47.0], [278.0, 822.2727272727273], [277.8181818181818, 822.2727272727273]]"
DVSKTT_thu.II.4a.1,士連武瓊等之所着述也其自,士連武瓊等之所着述也其自,"[[230.0, 62.0], [271.9090909090909, 62.0], [251.0, 559.1818181818181], [250.9090909090909, 559.1818181818181]]"
DVSKTT_thu.II.4a.2,國朝太字至恭皇則因前書所載题日本實録,國朝太宗至恭皇則因前書所載題曰本紀實録,"[[196.0, 46.0], [222.0, 46.0], [611.090909090909, 460.54545454545456], [585.090909090909, 460.54545454545456]]"
DVSKTT_thu.II.4a.3,又究登柄野史及界取当寺献各遗编述,又參究登柄野史及畧取當時所献各遺編述,"[[167.8181818181818, 65.0], [220.36363636363637, 65.0], [217.63636363636363, 806.9090909090909], [189.63636363636363, 806.9090909090909]]"
DVSKTT_thu.II.4a.4,0,自,"[[141.0, 65.0], [166.0909090909091, 65.0], [157.0, 98.63636363636364], [150.0909090909091, 98.63636363636364]]"
DVSKTT_thu.II.4a.5,國朝淮兴裕皇帝至,國朝庄宗裕皇帝至,"[[108.0, 46.0], [131.0, 46.0], [292.8181818181818, 230.8181818181818], [269.8181818181818, 230.8181818181818]]"
DVSKTT_thu.II.4a.6,神宗皇帝增八國史命曰大越史記本纪讀編,神宗淵皇帝增入國史命曰大𧻗史記本紀續編,"[[77.0, 44.0], [126.54545454545455, 44.0], [102.0, 829.7272727272727], [100.63636363636363, 829.7272727272727]]"
DVSKTT_thu.II.4a.7,總分爲二十三卷九所續编其整年之下非正,總分爲二十三卷凣所續編其繋年之下非正,"[[47.0, 61.0], [94.63636363636363, 61.0], [71.0, 806.7272727272727], [68.81818181818181, 806.7272727272727]]"
DVSKTT_thu.II.4a.8,统者及北朝年號皆两行分註與夫九例所書,統者及北朝年號皆两行分註與夫凣例所書,"[[17.0, 61.90909090909091], [415.6363636363636, 61.90909090909091], [42.0, 459.54545454545456], [390.6363636363636, 459.54545454545456]]"
DVSKTT_thu.II.4b.0,遵前史書式者所以尊正统而毁僭偽举大,一遵前史書式皆所以尊正統而黜僭偽󰁮大,"[[253.63636363636363, 68.9090909090909], [631.2727272727273, 68.9090909090909], [277.6363636363636, 459.72727272727275], [253.63636363636363, 459.72727272727275]]"
DVSKTT_thu.II.4b.1,網而昭監戒耳間或字義之未精句法之未当,綱而昭監戒耳間或字義之未精句法之未當,"[[210.0, 64.0], [255.8181818181818, 64.0], [234.0, 809.7272727272727], [232.72727272727272, 809.7272727272727]]"
DVSKTT_thu.II.4b.2,幸頼博洽諸君子補正之使人知是史之作其,幸賴博洽諸君子補正之使人知是史之作其,"[[180.0, 63.0], [224.8181818181818, 63.0], [203.0, 806.8181818181818], [201.8181818181818, 806.8181818181818]]"
DVSKTT_thu.II.4b.3,言政治亦古史之尚書其寓褒聚亦兽史之春,言正治亦古史之尙書其寓褒貶亦魯史之春,"[[149.0, 65.0], [196.72727272727272, 65.0], [174.0, 810.7272727272727], [172.63636363636363, 810.7272727272727]]"
DVSKTT_thu.II.4b.4,秋康有補於治道有禅於風教是亦孜正之,秋󰱃有補於治道有裨於風教是亦考正之一,"[[120.0, 61.72727272727273], [166.8181818181818, 61.72727272727273], [145.0, 793.4545454545455], [143.63636363636363, 793.4545454545455]]"
DVSKTT_thu.II.4b.5,助云音,助云旹,"[[89.0, 64.0], [136.63636363636363, 64.0], [113.0, 191.63636363636363], [112.63636363636363, 191.63636363636363]]"
DVSKTT_thu.II.5a.0,景治三年岁在乙已仲秋節日,景治三年歳在乙巳仲秋節榖日,"[[170.0, 58.0], [220.63636363636363, 58.0], [197.9090909090909, 602.8181818181818], [196.36363636363637, 602.8181818181818]]"
DVSKTT_thu.II.5a.1,賜戊辰科同進士内身参從吏部尚書無東關大,賜戊辰科同進士出身參從吏部尙書兼東閣大,"[[50.0, 43.0], [98.72727272727272, 43.0], [76.0, 806.8181818181818], [73.63636363636363, 806.8181818181818]]"
DVSKTT_thu.II.5a.2,学士少保燕郡公臣范公著奉编,𭓇士少保燕郡公臣范公著奉編,"[[19.0, 62.0], [67.72727272727272, 62.0], [45.0, 599.1818181818182], [43.54545454545455, 599.1818181818182]]"
DVSKTT_thu.IV.1a.0,新,擬,"[[256.0, 54.0], [300.0, 54.0], [280.0, 84.81818181818181], [276.0, 84.81818181818181]]"
DVSKTT_thu.IV.1a.1,進天越史記全書,進大越史記全書,"[[229.0, 40.0], [276.72727272727275, 40.0], [254.9090909090909, 321.9090909090909], [253.54545454545453, 321.9090909090909]]"
DVSKTT_thu.IV.1a.2,禮部右侍郎朝列大夫兼國子監司業無史官,禮部右侍郎朝列大夫兼國子監司業兼史官,"[[201.0, 55.0], [246.8181818181818, 55.0], [225.9090909090909, 790.2727272727273], [224.63636363636363, 790.2727272727273]]"
DVSKTT_thu.IV.1a.3,修模吴吉建放者伏蒙,修撰臣吳士連兹者伏𫎇,"[[175.54545454545453, 56.90909090909091], [399.5454545454545, 56.90909090909091], [199.54545454545453, 282.8181818181818], [375.5454545454545, 282.8181818181818]]"
DVSKTT_thu.IV.1a.4,聖恩除臣館職臣取前大越史記二書参以野史,聖恩除臣舘職臣取前大越史記二書參以野史,"[[525.4545454545455, 41.0], [551.4545454545455, 41.0], [166.0, 453.45454545454544], [140.0, 453.45454545454544]]"
DVSKTT_thu.IV.1a.5,年成大越史記全書谨腾為十五卷,輯成大越史記全書謹謄為十五卷,"[[398.27272727272725, 58.0], [423.27272727272725, 58.0], [136.9090909090909, 370.6363636363636], [111.9090909090909, 370.6363636363636]]"
